"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Xanthobacteraceae_Bradyrhizobium",44.2512040835574,1.80938803436099,2.23149650957732,0.810840629414075,NA,NA
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Xanthobacteraceae_Nitrobacter",42.4767555497004,1.61659671540648,1.97475537116174,0.81863138037976,0.412996757601003,0.824338062999116
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Xanthobacteraceae_Oligotropha",0,NA,NA,NA,NA,NA
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Xanthobacteraceae_Pseudolabrys",10.4616301040968,2.38267956730137,2.85209806025302,0.835412919529841,0.40348525807712,0.818498666385014
"Bacteria_Proteobacteria_Alphaproteobacteria_Rickettsiales_AB1_",0,NA,NA,NA,NA,NA
"Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Altererythrobacter",0,NA,NA,NA,NA,NA
"Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Hephaestia",0,NA,NA,NA,NA,NA
"Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Alcaligenaceae_Candidimonas",15.8102843552659,7.25632966464311,2.61865723473835,2.77101163465869,0.0055882430015929,0.30332870386856
"Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Alcaligenaceae_Castellaniella",200.425071124704,1.50792048017984,2.67585148775667,0.563529211945921,0.57307457416932,0.935363098069464
"Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Comamonadaceae_Ramlibacter",17.5356744199871,0.53670741174172,3.19881875744641,0.167783001300821,NA,NA
"Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Enterobacter",0,NA,NA,NA,NA,NA
"Bacteria_Proteobacteria_Gammaproteobacteria_Gammaproteobacteria Incertae Sedis_Unknown Family_Candidatus Ovatusbacter",0,NA,NA,NA,NA,NA
"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Xanthomonadaceae_Thermomonas",0,NA,NA,NA,NA,NA
"Bacteria_Verrucomicrobiota_Verrucomicrobiae_Pedosphaerales_Pedosphaeraceae_",33.5640087869113,1.35680387260119,2.00806417784815,0.675677544357745,0.499245396179649,0.860011931336938
"Bacteria_Actinobacteriota_Actinobacteria_Micrococcales_Intrasporangiaceae_Knoellia",1.75531598243774,4.07763356389173,3.40116125614635,1.19889451184442,0.230568966028056,0.639746596158757
"Bacteria_Actinobacteriota_Actinobacteria_Micrococcales_Microbacteriaceae_Lysinimonas",1.62993626940648,3.97013611676858,3.40253275020944,1.16681789955562,0.243283916849105,0.639746596158757
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella",7.77318011837991,-0.187960804106681,3.24610779385889,-0.0579034388390527,NA,NA
"Bacteria_Dependentiae_Babeliae_Babeliales_Babeliaceae_",2.00607540850028,4.27123312125505,3.39893337535019,1.25663925990164,0.208884291673354,0.639746596158757
"Bacteria_Dependentiae_Babeliae_Babeliales_UBA12409_",2.00607540850028,4.27123312125505,3.39893337535019,1.25663925990164,0.208884291673354,0.639746596158757
"Bacteria_Patescibacteria_Saccharimonadia_Saccharimonadales_",144.590390616088,0.90655762856398,1.88663156994799,0.480516515786372,0.630860162246892,0.955749367665317
"Bacteria_Planctomycetota_Planctomycetes_Isosphaerales_Isosphaeraceae_Tundrisphaera",4.51366966912563,5.44490550654284,3.39027986754321,1.60603422704702,NA,NA
"Bacteria_Planctomycetota_Planctomycetes_Planctomycetales_Rubinisphaeraceae_Planctomicrobium",1.25379713031267,3.58917957233126,3.40829756937734,1.05307107119375,0.292308420215311,0.715221240232672
